ProdName,SKU,Desc,LongDesc
Men’s 85 Billion Probiotic,51114,,"Men’s 85 Billion Probiotic Formula is designed to meet the unique needs of men and promote colon, immune, prostate, and heart health, as well as support overall digestion and absorption. It features whole-food sourced vitamins and minerals, a blend of organic fruits, veggies and mushrooms, a blend of high-potency probiotics from kefir, as well as digestive enzymes."
Milk Thistle 175 MG,19348,Supports Healthy Liver Function,"Our standardized Milk Thistle Extract is made under strict European quality standards. As a potent antioxidant, Milk Thistle aids in preventing free radicals from damaging cells throughout the body. Milk Thistle is widely used for its support of the liver, as well as offering support for stomach and intestines. Turmeric and artichoke extracts are added to provide synergistic benefits. Our Milk Thistle Extract is standardized to 80% Silymarin."
Mood Formula 50 Billion Probiotic,51110,,"Research continues to uncover the importance of the gut-brain connection (two-way communication link between the GI and the central nervous system) and the role that the gut microbiome plays in health and disease. This unique formula contains specific strains of probiotics clinically shown to support mood, emotional well-being, and relaxation. It also contains an organic prebiotic fiber blend to help sustain microflora balance, as well as a blend of nutrients and herbs to promote a healthy stress response."
Multi Two,2713,Balanced Foundation for Everyday Support,"To feel your best, you need more than the meager daily value of nutrients recommended by the government. That‘s why we created MULTI TWO from Pathway. With this revolutionary formula, you'll know you're getting the levels and the range of vitamins, minerals and cofactors we recommend for comprehensive everyday support. Plus, this formula incorporates the latest research on nutrient transport and interaction to enhance absorption, so you may actually feel the difference."
Multi Two,2715,Balanced Foundation for Everyday Support,"To feel your best, you need more than the meager daily value of nutrients recommended by the government. That‘s why we created MULTI TWO from Pathway. With this revolutionary formula, you'll know you're getting the levels and the range of vitamins, minerals and cofactors we recommend for comprehensive everyday support. Plus, this formula incorporates the latest research on nutrient transport and interaction to enhance absorption, so you may actually feel the difference."
Muscle Relax Plus,38845,Eases Muscle Tension and Cramping,"MUSCLE RELAX PLUS is a comprehensive formula that contains vitamins, minerals and herbs to help relieve occasional muscle tension and cramping related to stress or overuse of the muscle. This calming formula is designed to support core musculoskeletal physiology of the back and limit muscular stress on the spine and other tissues."
Mushroom Immune Support,51215,,"Using mushrooms to support a healthy immune response is a tradition that goes back for thousands of years. Research shows that as many as 300 types of mushrooms may play an important role in how we respond to toxins, illness, or abnormal cell formation. Our Mushroom Immune Support provides a synergistic blend of nine organic mushrooms (mycelium and fruiting bodies) to provide a full spectrum of myco-nutrients. This powerful formula is designed to maximize the body’s defenses and help the mind and body adapt to physical, mental, and environmental stressors."
Myo-Mag,2716,Help Enhance Energy Naturally,Adenosine Triphosphate (ATP) in the body. One capsule contains 100 mg of magnesium and 440 mg of malic acid. Important B vitamins are also included for added energy suvpport.
NAC,2717,A Natural Super-Antioxidant and Precursor of Glutathione,"Because the antioxidant glutathione is not itself very absorbable, studies show that a better way to boost glutathione levels is by taking supplemental N-Acetyl-L-Cysteine (NAC). NAC undergoes a process that encourages glutathione production in the body and has powerful implications for immune function and supporting the body's free-radical trapping capacity."
Nettle,48292,Natural allergy support,"Nettle leaf is rich in micronutrients and is considered to be a very nutritive herb.  Research shows that it has anti-inflammatory and anti-bacterial properties and may be useful for allergic conditions, kidney health, as well as joint health. Each capsule provides 500 mg of organic nettle leaf."
NeuroBalance,50870,,"Several studies indicate that synaptic connections in the brain hippocampus — a critical region for learning and memory — decline during the normal process of aging. NeuroBalance, which uses the unique, patented, chelated mineral Magtein, contains magnesium that is chelated to threonic acid (magnesium L-threonate). It is superior to other forms of magnesium at getting through the blood-brain barrier because it is able to transport magnesium ions across lipid membranes, including those of brain cells. Researchers at MIT concluded that elevating brain magnesium content through supplementation with magnesium L-threonate may be a useful strategy to support cognitive abilities and potentially help mitigate common age-related memory decline."
Niacin No-Flush 400 MG,19304,Inositol Hexanicotinate,"Niacin is used to support health cholesterol levels. Unfortunately, some people get a temporary side effect of warmth or flushing of the skinvbecause Niacin is an effective vessel dilator. In our No-Flush Niacin, we combine niacin with inositol, which buffers the flushing effect so that niacin can be taken without the unwanted warming side effect."
Olive Leaf,48293,Antioxidant and blood pressure support,Olive leaf extract has been shown to have antioxidant properties and provide support for healthy blood pressure and circulation. Olive leaf may also have antimicrobial activity as well.  
Olive Leaf Extract 500MG,2718,Extra Immune System Support,"Olive leaf extract has a long history of use as an immune-booster. We have incorporated a recent advancement into our own formula-one that preserves the active molecule in olive leaf extract. Make sure you always have a bottle of our olive leaf extract on hand during the wintertime, or for other times when your immune system needs a boost."
"Omega 3, 6, 9 (Complete Efa)",19314,A Perfect EFA Blend,"Our Omega 3-6-9 Complete EFA blend contains molecularly distilled fish oil with high concentrations of important omega-3 EPA & DHA. Omega 3-6-9 also contains cold pressed and hexane-free flax and borage seed oils, which supply omega-6 and omega-9 EFAs."
"Omega 3, 6, 9 (Complete Efa)",19313,A Perfect EFA Blend,"Our Omega 3-6-9 Complete EFA blend contains molecularly distilled fish oil with high concentrations of important omega-3 EPA & DHA. Omega 3-6-9 also contains cold pressed and hexane-free flax and borage seed oils, which supply omega-6 and omega-9 EFAs."
Opti-Zinc 20Mg,48418,L-OptiZinc for superior absorption,"Zinc is an essential mineral involved in many cellular processes, including muscle function, aging, skin and immune health.  Pathway Zinc features a patented form of zinc, called L-OptiZinc, which pairs zinc with the amino acid l-methionine for enhanced absorption, better retention, and greater benefit in the body as compared to over forms of zinc. Unlike other forms"
Oregano Oil,19847,Spice Up Your Immune System,Oregano Oil is known for supporting the immune system. Ours is standardized to 70% carvacrol and contains a full spectrum of the naturally occurring compounds found in oregano. We use Wild Mediterranean oregano oil from the Origanum vulgare species in a base of cold-pressed extra virgin olive oil.
Oregano Oil,19839,Spice Up Your Immune System,Oregano Oil is known for supporting the immune system. Ours is standardized to 70% carvacrol and contains a full spectrum of the naturally occurring compounds found in oregano. We use Wild Mediterranean oregano oil from the Origanum vulgare species in a base of cold-pressed extra virgin olive oil.
Oregano Oil 45 mg,19840,Spice Up Your Immune System,Oregano Oil is known for supporting the immune system. Ours is standardized to 70% carvacrol and contains a full spectrum of the naturally occurring compounds found in oregano. We use Wild Mediterranean oregano oil from the Origanum vulgare species in a base of cold-pressed extra virgin olive oil.
Oregano Oil 45 mg,19848,Spice Up Your Immune System,Oregano Oil is known for supporting the immune system. Ours is standardized to 70% carvacrol and contains a full spectrum of the naturally occurring compounds found in oregano. We use Wild Mediterranean oregano oil from the Origanum vulgare species in a base of cold-pressed extra virgin olive oil.
Organic Kids Comfort 5 Billion Probiotic plus Vitamins C & D Berry Flavor,51106,,"Probiotics are beneficial bacteria that promote digestive and immune health. Research shows that there are many health benefits to supporting the gut microbiome, especially during early development. This great tasting formula is designed to meet the unique needs of children. Each chewable tablet provides 5 billion CFUs,14 probiotic strains, organic, plant-sourced vitamins C and D, as well as an organic prebiotic fiber blend. Also available in natural berry flavor."
Organic Kids Comfort 5 Billion Probiotic plus Vitamins C & D Strawberry Banana Flavor,51107,,"Probiotics are beneficial bacteria that promote digestive and immune health. Research shows that there are many health benefits to supporting the gut microbiome, especially during early development. This great tasting formula is designed to meet the unique needs of children. Each chewable tablet provides 5 billion CFUs,14 probiotic strains, organic, plant-sourced vitamins C and D, as well as an organic prebiotic fiber blend. Also available in natural strawberry banana flavor."
Pantothenic Acid 500 Mg,3037,Vitamin B-5,"Pantothenic acid is necessary for a wide range of processes in the body. It plays a role in the production of adrenal hormones, thereby supporting healthy emotional and physical wellbeing. Pantothenic acid also supports the immune system by aiding in the formation of antibodies, and helps to mobilize fats and thereby support cardiovascular health."
Perfect E,22449,Perfect Mix of all 8 Vitamin E Compounds,"Perfect E contains all 8 of the Vitamin E compounds including extra gamma tocopherols and palm tocotrienols (Tocomin®). This makes Perfect E one of the most comprehensive Vitamin E products available. It provides excellent antioxidant support for proper immune function, brain, skin, eye, and cardiovascular health."
Perfect E,24268,Perfect Mix of all 8 Vitamin E Compounds,"Perfect E contains all 8 of the Vitamin E compounds including extra gamma tocopherols and palm tocotrienols (Tocomin®). This makes Perfect E one of the most comprehensive Vitamin E products available. It provides excellent antioxidant support for proper immune function, brain, skin, eye, and cardiovascular health."
Plant Protein Chocolate,24828,,Plant Protein Chocolate
Plant Protein Chocolate,19375,Plant Protein Without the Plant Protein Taste,"Pathway Plant Protein is a great tasting, vegan protein powder that is gluten free, dairy free, soy free, hypoallergenic, and contains no GMO ingredients. Available in either chocolate or vanilla, this protein shake provides 21 grams of protein, less than 1 gram of sugar, 9 grams of branched chain amino acids and glutamine, and has a blend of digestive enzymes. Plant Protein is also a rich source of omega 3 essential fatty acids derived from chia seed and the Peruvian sacha incha seed. Plant Protein is great for both kids and adults."
Plant Protein Vanilla,24789,Plant Protein Without the Plant Protein Taste,"Pathway Plant Protein is a great tasting, vegan protein powder that is gluten free, dairy free, soy free, hypoallergenic, and contains no GMO ingredients. Available in either chocolate or vanilla, this protein shake provides 21 grams of protein, less than 1 gram of sugar, 9 grams of branched chain amino acids and glutamine, and has a blend of digestive enzymes. Plant Protein is also a rich source of omega 3 essential fatty acids derived from chia seed and the Peruvian sacha incha seed. Plant Protein is great for both kids and adults."
Pre-Work Out Formula Citrus Splash Flavor,115,Energy and Endurance Booster,"Formulated to enhance physical activity and athletic performance by increasing energy, stamina and endurance. Pathway Pre-Workout not only sharpens mental clarity and focus, but also promotes lean muscle growth and supports lactic acid clearance to reduce fatigue or post-work out soreness and discomfort. Contains Carnosyn ®,Beta-alanine, which has been shown to increase athlete's peak performance and speed up muscle recovery. Available in Citrus Splash Flavor."
Prenatal Plus MULTI,19293,"With DHA, Ginger, and 800 mcg of Folic Acid","Prenatal Plus is especially formulated to meet a woman’s nutritional needs during pregnancy and lactation. Extra amounts of calcium, folic acid, and iron are included to support fetal development and maternal health. Also included in this formula are DHA, from trademarked ingredient Neuromins™, and choline, which are important nutrients needed for healthy neurological functioning and brain development of the fetus. Trademarked ingredients L-OptiZinc™ and ChromeMate™ are also in this formula."
Prolyt,2728,Promotes Normal Inflammatory Response,"Pathway Prolyt contains a synergistic blend of full strength enzymes naturally extracted from fruit-in addition to the bioflavonoids, quercetin and grape seed pycnogenols. Together, these nutrients ensure proper protein digestion and a normal inflammatory response, blocking the enzyme that gives rise to histamine. This blend also helps to maintain strong connective tissue and trap free radicals."
Protein & Greens Chocolate,49468,Protein & Greens Chocolate,"Protein & Greens features 20 grams of non-GMO, full spectrum plant protein (containing pea protein isolate, brown rice seed powder, and sacha inchi seed powder) along with a green food blend of spinach, kale, papaya fruit, alfalfa, broccoli, and pea. Protein & Greens is a great choice for anyone wanting a delicious tasting low-glycemic and high-protein nutritional shake. It makes a great breakfast smoothie, meal replacement, or snack. Also available in vanilla flavor."
Protein & Greens Vanilla,49469,,"Protein & Greens features 20 grams of non-GMO, full spectrum plant protein (containing pea protein isolate, brown rice seed powder, and sacha inchi seed powder) along with a green food blend of spinach, kale, papaya fruit, alfalfa, broccoli, and pea. Protein & Greens is a great choice for anyone wanting a delicious tasting low-glycemic and high-protein nutritional shake. It makes a great breakfast smoothie, meal replacement, or snack. Also available in chocolate flavor."
Pureway C 1000 MG,48968,,"Vitamin C is a water-soluble vitamin that has many important functions in the body including antioxidant activity, support of normal, healthy collagen, synthesis of neurotransmitters such as serotonin, carnitine production and the support of normal, healthy immune function. PureWay-C® is a scientifically advanced form of vitamin C that binds ascorbic acid to lipid metabolites such as fatty acids, esters, and fatty alcohols to enhance digestion, absorption, cellular uptake and retention as well as utilization of essential vitamin C in the body. The increased cellular uptake and retention of vitamin C results in enhanced vitamin C functions."
Pureway C 1000 MG,48969,,"Vitamin C is a water-soluble vitamin that has many important functions in the body including antioxidant activity, support of normal, healthy collagen, synthesis of neurotransmitters such as serotonin, carnitine production and the support of normal, healthy immune function. PureWay-C® is a scientifically advanced form of vitamin C that binds ascorbic acid to lipid metabolites such as fatty acids, esters, and fatty alcohols to enhance digestion, absorption, cellular uptake and retention as well as utilization of essential vitamin C in the body. The increased cellular uptake and retention of vitamin C results in enhanced vitamin C functions."
Quercetin Plus,2665,Blends Three Bioflavonoids,"Bioflavonoids are antioxidants found in many fruits, vegetables, nuts and seeds. They work with vitamin C to support small blood vessels and many other structural parts of the body. If your diet doesn’t include at least 5-7 servings of fruits and vegetables daily, we recommend Pathway Quercetin Plus. With a synergistic blend of 500 mg of quercetin, plus rutin and grape seed pycnogenols, this formula supports a healthy inflammatory response, strong capillaries, and a powerful immune system."
Red Yeast Rice 600 MG,28865,Natural Cholesterol Support,"Red yeast rice is a traditional Asian food that dates back to 8000 A.D. Scientific studies have shown that red yeast rice can help to support healthy cholesterol levels. Pathway Red Yeast Rice is organically grown in the USA and is citrinan free, a toxin that can be found in fermented foods. Take with CoQ10 for best results."
Reishi Mushroom Organic,51216,,"Known as the “mushroom of immortality,” Reishi (Ganoderma lucidum) is revered in Traditional Chinese Medicine as a premier adaptogen. Reishi has many health benefits, including supporting a balanced stress response, promoting cardiovascular, liver, and cognitive health, supporting hormone balance, and increasing energy and stamina."
Relaxation Support,19853,Supports Healthy Relaxation,"Pathway Relaxation Support combines a soothing blend of relaxing herbs, vitamins, minerals and amino acids. Relaxation Support contains Relora®, a patented blend of Magnolia officinalis and Phellondendron amurense studied for its calming and focusing effect as well as stress induced weight management problems. SunTheanine® is also incorporated in the formula to aid relaxation. We also include calming herbs, such as chamomile, lemon balm, valerian, skullcap, hops and passionflower."
Relora 250 MG,19355,Control Stress Induced Eating,"Relora® contains two patent-pending proprietary plant extracts, one from Magnolia officinalis and the other from Phellodendron amurense. Relora has been shown clinically to significantly alter the hormone levels associated with stress-induced obesity. Relora also supports a feeling of relaxation and can help you enjoy more restful sleep. Our formula contains the same dosage used in clinical studies."
Respir-Ease,48288,Herbal respiratory support,"Respir-Ease is a comprehensive liquid herbal formula specific for acute respiratory ailments. The herbal ingredients in Respir-Ease include osha root, wild cherry bark, licorice root, lomatium root, and pleurisy root. Together, these herbs provide powerful immune stimulation and help the lungs address viral or bacterial infections."
Resveratrol Plus 100 MG,20750,With Leucoselect™ Grape Seed Extract,"Pathway Resveratrol Plus provides 100 mg of trans-resveratrol along with grape seed extract for potent antioxidant protection. Studies show that resveratrol supports a healthy heart and activates the Sirtuin family of proteins, which is thought to mimic the anti-aging benefits of a reduced calorie diet and in turn help support the overall health of living cells."
Resveratrol Plus 100 MG,19087,With Leucoselect™ Grape Seed Extract,"Pathway Resveratrol Plus provides 100 mg of trans-resveratrol along with grape seed extract for potent antioxidant protection. Studies show that resveratrol supports a healthy heart and activates the Sirtuin family of proteins, which is thought to mimic the anti-aging benefits of a reduced calorie diet and in turn help support the overall health of living cells."
Rhodiola Rosea Extract 250Mg,47523,Supports Adrenal Health and Energy Levels,"Rhodiola is an herbal adaptogen best known for its ability to help combat stress and enhance well-being. By supporting the nervous system, rhodiola has been shown to increase one’s tolerance to a variety of stressors. Benefits also include improvements in mood, work performance, sleep, and energy levels. Pathway Rhodiola Rosea provides 250 mg of rhodiola root extract, standardized to contain 3% rosavins and 1% salidroside."
S-Acetyl Glutathione 200 MG,38844,Highly Bioavailable Antioxidant Support,"S-Acetyl Glutathione is a unique form of glutathione, one of the most powerful antioxidants naturally produced in the body. It has an acetyl group attached to the sulfur atom of cysteine in the glutathione molecule. S-Acetyl Glutathione is well-suited for oral ingestion, because this acetyl group protects glutathione from breaking down in the gastrointestinal tract; once absorbed and inside the cells it is removed, thus leaving the glutathione molecule intact. This product also includes N-acetyl-cysteine (NAC) and vitamin B6, both of which are important for the production of glutathione. Made with non-GMO ingredients."
Saccharomyces Boulardii,38848,Beneficial Yeast Strain for GI Health and Protection,"Saccharomyces Boulardii is a special freeze-dried beneficial yeast strain isolated from Litchi fruits. Unlike other products containing this organism, our Pathway product is dairy and lactose free and does not require refrigeration. Saccharomyces Boulardii provides important protection of the digestive mucosa and has been most studied for its efficiency in the prevention of antibiotic-associated diarrhea. Made with non-GMO ingredients."
Sambucus Elderberry Syrup,48289,Immune system tonic,"This organic elderberry syrup is delicious tasting and provides vitamin C, proanthocyanadin flavonoids, as well as antiviral proteins. Great for the whole family, elderberry syrup helps to strengthen capillary integrity and help stabilize mast cells, thus reducing histamine production. It is also very useful during cold and flu season to support upper respiratory health."
Saw Palmetto Pygeum Plus,22444,Prostate Support,"Supporting prostate health is an important concern for men over the age of 40. Pathway Saw Palmetto Pygeum Plus is a blend of standardized herbs and nutrients that have been clinically shown to support prostate health. Saw palmetto extract, pygeum extract (which provides beta sitosterol), pumpkin seed oil, nettle root extract, lycopene, and zinc make this product a complete formula for supporting prostate health."
Selenium 200Mcg,47584,Antioxidant and Immune Support,"Selenium is an important antioxidant mineral that keeps cells healthy by preventing free radical production. It plays a protective role in cancer, fertility, eye health, liver disease, thyroid health, and inflammation. Pathway Selenium features SelenoExcell®, which is a bioavailable form of organically bound selenium yeast, replicating the natural food form. Recent studies show that this trademarked form is the most effective for reducing oxidative stress as compared to other forms of selenium."
Sinus Blaster Spray,26913,,
Sleep Support,34328,Supports a Good Night’s Rest,"A restful night’s sleep is so important to ones health. Pathway Sleep Support provides a soothing blend of calming herbs and relaxing nutrients to promote a peaceful night’s sleep. Key ingredients include vitamin B6, magnesium, melatonin, L-theanine, passion flower, and valerian."
Stevia Tincture GLYCERINE,25901,Natural Liquid Sweetener,"Stevia is a natural sweetener derived from the plant Stevia rebaudiana. It that can be use when sweetening is desired without adding calories or raising blood sugar levels. Stevia in liquid form allows for convenient and easy usage. Beyond its use as a sweetener, stevia has demonstrated other health promoting properties as well."
Super Citrimax,19358,Support Healthy Metabolism,"This product is a great formula to support healthy metabolism and weight management. Chromium is a necessary mineral for allowing insulin into the cell receptor site. Citrimax® and ChromeMate™ are extensively researched, trademarked ingredients."
Super Omega-3,19324,Pure and Potent Essential Fatty Acids,"Super Omega-3 is molecularly distilled for purity and contains high concentrations of the essential fatty acids Omega-3s EPA & DHA (300 mg & 200 mg respectively). Omega-3 fatty acids are very important, supportive nutrient of cardiovascular health as well as brain, skin, and ocular health."
Super Omega-3,19323,Pure and Potent Essential Fatty Acids,"Super Omega-3 is molecularly distilled for purity and contains high concentrations of the essential fatty acids Omega-3s EPA & DHA (300 mg & 200 mg respectively). Omega-3 fatty acids are very important, supportive nutrient of cardiovascular health as well as brain, skin, and ocular health."
Super Omega-3 EC ENTERIC COATED,21971,Enteric Coating Reduces Fish Burps,"Super Omega-3 is molecularly distilled for purity and contains high concentrations of the essential fatty acids Omega-3 EPA & DHA (300 mg & 200 mg respectively). Omega-3 fatty acids are very important, supportive nutrient of cardio health as well as brain and ocular health. Each softgel is enteric coated to eliminate the odor and fishy aftertaste typically associated with taking a fish oil capsule. Enteric coating also protects the softgel capsules from being digested in the stomach and allows the fish oil to reach to the lower GI tract for absorption."
Super Omega-3 EC ENTERIC COATED,24778,Enteric Coating Reduces Fish Burps,"Super Omega-3 is molecularly distilled for purity and contains high concentrations of the essential fatty acids Omega-3 EPA & DHA (300 mg & 200 mg respectively). Omega-3 fatty acids are very important, supportive nutrient of cardio health as well as brain and ocular health. Each softgel is enteric coated to eliminate the odor and fishy aftertaste typically associated with taking a fish oil capsule. Enteric coating also protects the softgel capsules from being digested in the stomach and allows the fish oil to reach to the lower GI tract for absorption."
Superzymes,22441,Supports Digestive Enzymatic Activity,"Digestive enzymes are vital to the proper digestion and absorption of nutrients from food. Pathway Superzymes contains powerful digestive enzymes such as amylase, protease, lipase, pepsin, bromelain, and papain for the breakdown of fats, proteins, and carbohydrates. This formula also includes betaine hycrochloride and ox bile, for enhanced support in emulsifying fats and breaking down proteins. Pathway Superzymes also protects the body against harmful pathogens."
Suprema Dophilus,19329,5 Billion Viable Cells Per Capsule,"Suprema Dophilis is an advanced combination of eight strains of beneficial bacteria to give you a complete probiotic formula. The bacteria in Suprema Dophilus are bioenhanced, acid-resistant strains that are formulated to survive stomach acid without the need for an enteric coating. Suprema Dophilus is also shelf stable, so there is no need for refrigeration."
Suprema Dophilus,27336,5 Billion Viable Cells Per Capsule,"Suprema Dophilis is an advanced combination of eight strains of beneficial bacteria to give you a complete probiotic formula. The bacteria in Suprema Dophilus are bioenhanced, acid-resistant strains that are formulated to survive stomach acid without the need for an enteric coating. Suprema Dophilus is also shelf stable, so there is no need for refrigeration."
Throat Spray Relief,22881,Provides Soothing Relief,"Pathway THROAT-EASE spray provides soothing relief fast! It's a powerful blend of immune-supportive herbs in a honey base. This great-tasting formula is ideal for singers, teachers, speakers and anyone prone to throat stress. This formula is also alcohol–free."
Thyroid Support,26953,Comprehensive Formula to Support Thyroid Function,"Pathway Thyroid Support contains essential vitamins, minerals, and standardized herbs to help support healthy thyroid function, metabolism, and stress response. Key ingredients include, L-Tyrosine, kelp, vitamins A and D, selenium, bacopa and ashwagandha. This formula is vegetarian and gluten free."
Turkey Tail Mushroom Organic,51217,,"Turkey Tail (Trametes versicolor) mushroom is one of the best-documented mushrooms in scientific research. It is famous for its role in supporting immune health and has been used for centuries in Traditional Chinese Medicine and Native American herbalism. Turkey Tail is rich in nutrients that support the body’s innate immune response, provide powerful antioxidant protection, and nourish beneficial bacteria."
Turmeric 500 MG,19838,Standardized to contain 95% Curcuminoids,"Turmeric has potent antioxidant and anti-inflammatory properties, as well as cardiovascular, liver and digestive protective capabilities. Pathway Turmeric contains Curcumin C3, a patented blend of curcuminoids that has been clinically tested."
Turmeric Extract 500 MG,19362,Standardized to contain 95% Curcuminoids,"Turmeric has potent antioxidant and anti-inflammatory properties, as well as cardiovascular, liver and digestive protective capabilities. Pathway Turmeric contains Curcumin C3, a patented blend of curcuminoids that has been clinically tested."
Ubiquinol Coq10 50 Mg,25355,,"Ubiquinol is the antioxidant form of CoQ10. Studies show this form of CoQ10 is absorbed more efficiently and offers enhanced bioavailability over other forms of CoQ10 (ubiquinone). Age and health status significantly affect the body’s ability to manufacture ubiquinol from the ubiquinone form of CoQ10. Providing an oral supplement of this powerful antioxidant, namely Kaneka Ubiquinol™ 50 mg, can help the body maintain optimal levels despite age and/or health status."
Ubiquinol CoQH 100Mg,44040,Reduced Form of CoQ10 for Enhanced Absorption,"CoQ10 plays a major role in the production of energy and as an antioxidant to combat free radicals. Aging, medications, and certain diseases can affect the conversion of oxidized CoQ10 (ubiquinone) to its reduced (ubiquinol) form. Pathway Ubiquinol CoQH offers improved bioavailability, which may help individuals who have difficulty achieving the levels of this nutrient necessary for effective antioxidant support & cellular energy production."
Ubiquinol Coqh 50 Mg,18990,Reduced form of CoQ10 for Enhanced Absorption,"CoQ10 plays a major role in the production of energy and as an antioxidant to combat free radicals. Aging, medications, and certain diseases can affect the conversion of oxidized CoQ10 (ubiquinone) to its reduced (ubiquinol) form. Pathway Ubiquinol CoQH offers improved bioavailability, which may help individuals who have difficulty achieving the levels of this nutrient necessary for effective antioxidant support & cellular energy production."
Ubiquinol-50 Soy Free,27082,Reduced form of CoQ10 for Enhanced Absorption,"CoQ10 plays a major role in the production of energy and as an antioxidant to combat free radicals. Aging, medications, and certain diseases can affect the conversion of oxidized CoQ10 (ubiquinone) to its reduced (ubiquinol) form. Pathway Ubiquinol-50 offers improved bioavailability, which may help individuals who have difficulty achieving the levels of this nutrient necessary for effective antioxidant support & cellular energy production. Pathway Ubiquinol-50 is soy-free."
Ultra Cleansing System AM PM FORMULA,22643,AM/PM Natural Body Cleanse and Detox,"Pathway Ultra Cleansing System is a gentle and effective 30-day program that supports the mayor systems liver, lungs, lymphatic, kidney, colon and skin. Ultra Cleansing System is a two part cleansing system with an AM and PM formula. Key ingredients include: milk thistle seed, dandelion root, Oregon grape root, flax seed, artichoke leak, burdock, plus many other health detoxifying herbs. This product is gluten free and vegetarian."
Ultragreens,21221,"Loaded with Vitamins, Minerals, and Antioxidants","Pathway ULTRA GREENS powder features a high concentration of cereal grasses and blue-green algae from trademarked sources such as Earthrise® brand Spirulina and Pines International®. It contains over 40 quality natural ingredients including 12 green superfoods, 4 fibers, 12 herbs, 8 additional superfoods, and 6 sea vegetables. This formula provides a rich source of antioxidants, vitamins, minerals, fibers, carotenoids, and chlorophyll."
Urinary Formula 50 Billion Probiotic,51111,,"This comprehensive probiotic formula is designed to support urinary tract, digestive, and immune health. Key ingredients include organic vitamin D3, clinically studied probiotic strains, a prebiotic fiber blend, as well as Cran-Max® Cranberry, a pure cranberry concentrate, shown to promote urinary health."
Vision Support,19340,Supports Normal Vision,"Vision Support Formula* contains the finest key ingredients to support healthy vision. Vision Support contains Bilberry standardized to 25% Anthocyanosides, as well as a full spectrum of other naturally occurring compounds. Carotenoids, particularly Lutein, have been studied for their beneficial role in the health of the macula of the eye. We use only the finest sources of these carotenoidFloraGLO Lutein, Lyc-O Mato Lycopene, and Betatene mixed carotenoids. Other nutrients such as Vitamin C, Selenium, Bioflavonoids, Taurine, Quercetin and L-OptiZinc have been added to make this formula complete."
Vision Support,19341,Supports Normal Vision,"Vision Support Formula* contains the finest key ingredients to support healthy vision. Vision Support contains Bilberry standardized to 25% Anthocyanosides, as well as a full spectrum of other naturally occurring compounds. Carotenoids, particularly Lutein, have been studied for their beneficial role in the health of the macula of the eye. We use only the finest sources of these carotenoidFloraGLO Lutein, Lyc-O Mato Lycopene, and Betatene mixed carotenoids. Other nutrients such as Vitamin C, Selenium, Bioflavonoids, Taurine, Quercetin and L-OptiZinc have been added to make this formula complete."
Vitamin B-12 (Methylcobalamin) 5 MG,2740,Give Yourself a Targeted Energy Boost,"Vitamin B-12 is involved in numerous vital body functions, including red blood cell formation, synthesis and function of nerve tissue, and metabolism of carbohydrates, fats, and proteins. It also plays an important role in the reduction of homocysteine, support of mental function in the elderly, and support of mental health."
Vitamin B-6,19305,Pyridoxine,"Vitamin B-6 is one of the most essential, widely used vitamins in the body. As a coenzyme, B-6 is needed for the proper growth and maintenance of almost all our body structures and functions. It is particularly important for nervous system functioning, cardiovascular health, and women’s health."
Vitamin B12 Liquid,25923,Liposomal Formula,"Pathway Vitamin B-12 supports cardiovascular health by providing the active forms of vitamin B-12, folate, and B-6. This synergistic formula also contains TMG for homocysteine support. And, sunflower lecithin is added for enhanced absorption. A graduated pipette allows for dosages from 750 mcg to 3,000 mcg per serving."
Vitamin C 1000 Mg With Rose Hips SUSTAINED RELEASE,19311,With Rose Hips/Sustained Release,This formula combines the antioxidant power of Vitamin C with natural bioflavonoids using sustained release technology so that your body can maximize its absorption.
Vitamin C 500 Mg With Rose Hips,19309,With Rose Hips,"Vitamin C (ascorbic acid) is an important antioxidant, but because it’s water-soluble, your body can’t store it so you need to get enough of it every day. Vitamin C is essential to basic body-building functions and disease prevention, and is needed for the growth and repair of tissues in all parts of the body. Vitamin C supplementation is especially important when you’re under physical and emotional stress."
Vitamin C 500 Mg With Rose Hips,19310,With Rose Hips,"Vitamin C (ascorbic acid) is an important antioxidant, but because it’s water-soluble, your body can’t store it so you need to get enough of it every day. Vitamin C is essential to basic body-building functions and disease prevention, and is needed for the growth and repair of tissues in all parts of the body. Vitamin C supplementation is especially important when you’re under physical and emotional stress."
Vitamin C-1000 1000 MG,2742,When Capsules Are Preferred,"Vitamin C (ascorbic acid) is an important antioxidant that supports optimum health. Because it is water-soluble, the body cannot store the vitamin so you must be certain to get enough daily. Vitamin C is a critical component of both basic body building functions and disease prevention. It is needed for the growth and repair of tissues in all parts of the body and supplementation is especially important when under physical and emotional stress."
Vitamin D 2000 IU,27782,Important Bone Building Vitamin,"Vitamin D plays a key role in helping to maintain bone density and bone strength. It also supports cardiovascular health, mental health, skin health, as well as immune system health. Even though the human body can manufacture Vitamin D under ideal circumstances, much of the American population suffers from a Vitamin D deficiency. Vitamin D-3 is the more bioactive form of Vitamin D."
Vitamin D-3 1000 IU,22448,Important Bone Building Vitamin,"Vitamin D plays a key role in helping to maintain bone density and bone strength. It also supports cardiovascular health, mental health, skin health, as well as immune system health. Even though the human body can manufacture Vitamin D under ideal circumstances, much of the American population suffers from a Vitamin D deficiency. Vitamin D-3 is the more bioactive form of Vitamin D."
